trans_id,Date,Amount,type,ssn,from_Acc,to_Acc
600076,2023-02-27,691.46,withdraw,740-53-1660,0634-6008-5089-0042,2567-1969-6383-1153
884493,2023-03-28,227.01,withdraw,864-17-2878,8576-8537-4845-8696,9187-2605-2905-6853
642046,2023-05-20,972.4,deposit,538-64-3169,7674-3966-2600-0176,6731-3603-8765-2287
240089,2023-04-20,178.91,withdraw,505-56-2364,2040-3207-8177-0175,6754-8951-4801-0709
282406,2023-05-03,526.07,deposit,512-38-6950,6418-2280-2913-7885,2064-4883-9583-6966
773976,2023-09-24,519.61,withdraw,370-51-5387,9090-3282-6637-0732,4587-1978-4321-5911
849839,2023-04-07,705.52,deposit,885-10-9066,4432-4474-5427-9937,2772-3190-1509-7764
755732,2023-04-17,201.19,deposit,261-12-1948,9618-0575-5694-9468,9653-0867-5987-5276
792965,2023-02-11,852.21,withdraw,513-20-8841,4989-0839-7981-7646,2980-7353-8080-3778
645152,2023-07-24,855.46,deposit,421-06-0674,0279-6808-0475-7018,2959-9910-4977-4927
