acc_no,acc_type,ssn,balance
0634-6008-5089-0042,savings,740-53-1660,248584.83
8576-8537-4845-8696,savings,864-17-2878,397014.6
7674-3966-2600-0176,savings,538-64-3169,364014.45
2040-3207-8177-0175,checkings,505-56-2364,349435.46
6418-2280-2913-7885,checkings,512-38-6950,378561.59
9090-3282-6637-0732,savings,370-51-5387,258536.59
4432-4474-5427-9937,savings,885-10-9066,28151.83
9618-0575-5694-9468,checkings,261-12-1948,162945.53
4989-0839-7981-7646,checkings,513-20-8841,194827.41
0279-6808-0475-7018,savings,421-06-0674,354672.49
