card_no,active_status,branch_no,ssn
8144-2513-4025-0907,activated,556240,740-53-1660
4733-9321-1638-4993,activated,653853,864-17-2878
7499-5616-1056-2989,activated,160780,538-64-3169
7489-9263-4709-3996,activated,788531,505-56-2364
8127-3941-3167-6525,activated,187541,512-38-6950
9740-3911-8216-0193,deactivated,161107,370-51-5387
6313-3116-7374-3312,activated,531837,885-10-9066
0232-5597-7059-0724,activated,576546,261-12-1948
7446-1880-0941-5663,deactivated,701300,513-20-8841
0778-4386-8709-4877,activated,871772,421-06-0674
