SSN,Fname,Lname,DOB,email,phone,street,city,state
740-53-1660,Elvina,Hedditeh,6/7/1953,ehedditeh0@loc.gov,309-687-4947,Clove,Bloomington,Illinois
864-17-2878,Melony,Goundrill,8/27/1954,mgoundrill1@free.fr,612-658-2525,Porter,Minneapolis,Minnesota
538-64-3169,Guy,Lodevick,1/3/1954,glodevick2@mlb.com,505-820-2557,Debs,Albuquerque,New Mexico
505-56-2364,Neall,Bowle,1/3/1996,nbowle3@squidoo.com,718-136-0002,Independence,Jamaica,New York
512-38-6950,Jolynn,Goodreid,1/7/1977,jgoodreid4@whitehouse.gov,561-703-6780,Sullivan,Lake Worth,Florida
370-51-5387,Appolonia,Nardoni,6/3/1957,anardoni5@cnbc.com,409-247-4034,Anhalt,Beaumont,Texas
885-10-9066,Kiley,Zoren,9/28/1975,kzoren6@wiley.com,202-509-1532,Mitchell,Washington,District of Columbia
261-12-1948,Nadeen,Jefferys,10/2/1992,njefferys7@creativecommons.org,706-583-5667,Mayer,Athens,Georgia
513-20-8841,Muire,Mallinar,8/19/1993,mmallinar8@dailymail.co.uk,770-597-8398,Rowland,Lawrenceville,Georgia
421-06-0674,Jacob,Reichartz,8/27/1975,jreichartz9@scribd.com,818-254-1731,Rutledge,Northridge,California
